Question Type: multipleresponse,Parent Category,Category,Random Answers,Grade Style,Correct Feedback,Incorrect Feedback,Points,Question,Correct,Answer A,Answer B,Answer C,Answer D,Answer E,Answer F,Answer G,Answer H,Answer I,Answer J
multipleresponse,PSM I,Framework and Direct Recall,Yes,Off,The Scrum Master coaches the Product Owner and facilitates collaboration; they do not own authoring items or release approvals.,"Authoring all items or controlling releases are not Scrum Master responsibilities; they enable, not direct, value delivery.",1,Which services might a Scrum Master provide to the Product Owner? Select two.,"A,C",Coaching on effective Product Backlog management,Writing all user stories,Facilitating stakeholder collaboration,Approving release dates,,,,,,
multipleresponse,PSM I,Role Misapplication,Yes,Off,"Developers decide how to accomplish work; the PO should focus on outcomes and ordering, not tasking, implementation control, or imposing overtime.",Reordering the Product Backlog and clarifying outcomes are appropriate PO activities; tasking and overtime pressure undermine Scrum.,1,Which actions by a Product Owner undermine Developers' self-management? Select three.,"A,C,D",Assigning tasks to individual Developers,Reordering the Product Backlog,Dictating how the work must be implemented,Demanding overtime to meet a fixed scope,Providing clear product outcomes,,,,,
multipleresponse,PSM I,Framework and Direct Recall,Yes,Off,"Each artifact has a commitment: Product Goal (Product Backlog), Sprint Goal (Sprint Backlog), and Definition of Done (Increment).","Release plans, acceptance criteria, or capacity plans may exist but are not Scrum commitments.",1,What are the commitments associated with Scrum artifacts? Select three.,"A,B,D",Product Goal for the Product Backlog,Sprint Goal for the Sprint Backlog,Release Plan for the Increment,Definition of Done for the Increment,Acceptance Criteria for the Product Backlog,Capacity Plan for the Sprint Backlog,,,,
multipleresponse,PSM I,Framework and Direct Recall,Yes,Off,"Progress is evidenced by a Done Increment and meeting the Sprint Goal. Charts and point totals are optional proxies, not primary indicators.",Relying on charts or points alone can hide whether a usable Increment and Sprint Goal were achieved.,1,Which indicators best reflect progress in Scrum? Select two.,"A,C","A Done, usable Increment",An updated Gantt chart,Achieved Sprint Goal,Number of story points completed,,,,,,
multipleresponse,PSM I,Framework and Direct Recall,Yes,Off,Refinement is ongoing and adjusts clarity and size as needed. Scrum does not fix capacity percentages or require upfront detail.,"Mandated percentages, release-only timing, or upfront completeness contradict empiricism and just-in-time detail.",1,"Regarding Product Backlog refinement, which statements are correct? Select two.","A,D","It is an ongoing activity, not a time-boxed event",It must consume exactly 10% of capacity,It only happens before a release,It may adjust the size and detail of items,It requires full acceptance criteria for all items upfront,,,,,
multipleresponse,PSM I,Role Misapplication,Yes,Off,"Only the Product Owner can cancel a Sprint, typically when the Sprint Goal is obsolete.","Velocity changes or stakeholder pressure alone do not justify cancellation; the Sprint Goal's validity is key, and only the PO cancels.",1,When may a Sprint be canceled? Select two.,"A,C",When the Sprint Goal is no longer valid,When velocity drops,Only by the Product Owner,When stakeholders change priorities mid-Sprint,,,,,,
multipleresponse,PSM I,Role Misapplication,Yes,Off,"There is one accountable Product Owner per product, not a shared committee. Delegation is possible but accountability remains single.","Confusing delegation with shared accountability, or replacing the PO with a committee, dilutes clear decision-making.",1,Which statements about the Product Owner are FALSE? Select two.,"B,E",The Product Owner may delegate work but remains accountable for Product Backlog management,Multiple people can share the Product Owner accountability for a single product,"The Product Owner ensures the Product Backlog is visible, transparent, and understood",The Product Owner orders the Product Backlog to maximize value,The Product Owner is a committee that votes on priorities,,,,,
multipleresponse,PSM I,Role Misapplication,Yes,Off,The Scrum Master coaches and facilitates to improve self-management and focus on the Sprint Goal; they don't assign tasks or rearrange people by mandate.,Task assignment or immediate reshuffling undermines the team's ownership and learning.,1,Which Scrum Master actions are appropriate when Developers struggle to collaborate? Select two.,"A,C",Facilitate techniques that improve collaboration and help them self-manage,Assign tasks to ensure even distribution,Coach the team on the purpose of the Sprint Goal,Escalate to management to reshuffle individuals immediately,,,,,,
multipleresponse,PSM I,Increment Integrity,Yes,Off,"Increments must be usable and meet the Definition of Done. Multiple Increments may arise, but they must be integrated at least each Sprint for a single product.","Unfinished work, tying Increments to Product Goals, or requiring release for a Review are misconceptions.",1,Which statements about the Increment are correct? Select three.,"A,B,C",Multiple Increments may be created within a Sprint,An Increment must be usable and meet the Definition of Done,Increments from parallel teams must be integrated at least each Sprint,"An Increment can include ""done except for testing"" work if demoed",There is exactly one Increment per Product Goal,The Sprint Review requires a released Increment,,,,
multipleresponse,PSM I,Role Misapplication,Yes,Off,Developers create the Sprint plan and ensure quality by meeting the Definition of Done. Value maximization and Product Backlog management are Product Owner accountabilities.,Stakeholder satisfaction and value maximization are outcomes of the whole Scrum Team with the Product Owner accountable; Product Backlog management is not a Developer responsibility.,1,Which responsibilities belong to Developers? Select two.,"A,C",Creating a plan for the Sprint (the Sprint Backlog),Ensuring stakeholder satisfaction,Instilling quality by adhering to the Definition of Done,Maximizing product value,Managing the Product Backlog,,,,,
multipleresponse,PSM I,Framework and Direct Recall,Yes,Off,Story points and burn charts are optional techniques. Scrum prescribes a Product Backlog and a Definition of Done.,Confusing optional techniques with required elements misrepresents Scrum's minimal prescription.,1,Which of the following are NOT prescribed by Scrum? Select two.,"A,B",Story points,Burnup/burndown charts,Definition of Done,Product Backlog,,,,,,
multipleresponse,PSM I,Over-control Trap,Yes,Off,"In Scrum the answer follows directly from the accountabilities, artifacts, and empirical process described in the Scrum Guide. The correct options reinforce transparency and empiricism by ensuring progress is inspected at the product level rather than through individual productivity metrics. Scrum emphasizes shared ownership of outcomes and team-level accountability rather than individual measurement dashboards.",The incorrect options introduce command-and-control management practices that conflict with Scrum's emphasis on self-management and collective accountability. Individual velocity tracking and productivity dashboards shift focus away from product value and the Sprint Goal and instead reward individual output metrics that often distort team behavior.,1,What must be true for work to be part of the Increment at the end of a Sprint? (Select all that apply),"A,C",It meets the Scrum Teams Definition of Done,It is approved by the Product Owner before the Sprint Review,It is integrated and usable with prior Increment(s),It has been deployed to production,,,,,,
multipleresponse,PSM I,Efficiency vs Empiricism Trap,Yes,Off,The correct answers align with the Scrum Guide definition of a Done Increment. Integrity of the Increment requires that all completed work meets the shared Definition of Done and integrates with prior work so the product is usable. This transparency allows stakeholders to rely on the Increment as potentially releasable functionality.,"The incorrect options introduce interpretations that weaken the definition of a Done Increment. Allowing partially finished work, delayed integration, or undefined quality standards reduces transparency and makes it impossible to determine the true state of the product.",1,Leadership mandates per-person velocity dashboards and targets. What risks does this create? (Select all that apply),"A,C",It encourages gaming metrics over learning,It increases transparency of value delivered,It undermines team self-management and collaboration,It ensures more accurate forecasting,,,,,,
multipleresponse,PSM I,Framework and Direct Recall,Yes,Off,"This question evaluates understanding of Scrum boundaries through negative framing (NOT / FALSE). The correct answers identify practices or elements that Scrum does not prescribe. Scrum intentionally defines only roles, events, artifacts, and commitments, leaving implementation practices flexible so teams can adapt within the framework.","The incorrect answers assume Scrum mandates specific engineering practices, tools, or reporting structures. Scrum deliberately avoids prescribing implementation techniques because teams must adapt methods to their context while remaining within the framework.",1,Which practices support maintaining the integrity of the Increment? (Select all that apply),"A,C",A shared Definition of Done across all teams working on the product,Tracking and optimizing individual utilization,Continuous integration and frequent integration across teams,Separate hardening Sprints for integration and testing,,,,,,
multipleresponse,PSM I,Transparency Failure,Yes,Off,"Transparency is one of the three pillars of empiricism in Scrum. The correct answers increase visibility into product progress, backlog ordering, and product quality so the Scrum Team and stakeholders can inspect and adapt effectively.","The incorrect options reduce transparency by obscuring progress, limiting visibility of work, or introducing delayed reporting mechanisms. Reduced transparency weakens inspection and prevents effective adaptation.",1,Which of the following are NOT mandatory elements of Scrum? (Select all that apply),"A,D",Burndown charts,Definition of Done,Sprint Goal,Story points,,,,,,
multipleresponse,PSM I,Role Misapplication,Yes,Off,The Product Owner is accountable for maximizing the value of the product resulting from the work of the Scrum Team. The correct answers reflect Scrum Guide responsibilities such as ordering the Product Backlog and ensuring it is transparent and understood by the team.,"The incorrect options assign responsibilities that belong to Developers or the Scrum Master. Scrum depends on clear accountability boundaries, and mixing these responsibilities undermines effective collaboration.",1,Which options reflect false equivalences? (Select all that apply),"A,B,C",Velocity equals value delivered,Sprint Goal equals Sprint Backlog,Definition of Done equals acceptance criteria of a PBI,The commitment for the Increment equals the Definition of Done,,,,,,
multipleresponse,PSM I,Efficiency vs Empiricism Trap,Yes,Off,"Scrum prioritizes delivery of value and team effectiveness rather than maximizing individual utilization. The correct answers reinforce collaboration, swarming on valuable work, and progress toward the Sprint Goal instead of focusing on individual productivity metrics.",The incorrect options reflect traditional utilization thinking where keeping individuals busy is valued more than delivering product outcomes. This approach often increases multitasking and reduces focus on the Sprint Goal.,1,Which actions most increase transparency of progress? (Select all that apply),"A,C",Visualize work and progress toward the Sprint Goal in the Sprint Backlog,Enforce detailed individual status reporting,Share and apply a clear Definition of Done,Lock scope to avoid changes during the Sprint,,,,,,
multipleresponse,PSM I,Role Misapplication,Yes,Off,"The Scrum Master serves the Scrum Team by coaching, facilitating Scrum events, and helping the organization adopt Scrum. The correct answers highlight behaviors that reveal role confusion when the Scrum Master begins directing or controlling the team instead of enabling self-management.","The incorrect options assume the Scrum Master directs work or manages team members. In Scrum the Developers are self-managing, and the Scrum Master acts as a servant-leader rather than a manager.",1,Which are accountabilities of the Product Owner? (Select all that apply),"A,C",Clearly communicating Product Backlog items,Ensuring Scrum is understood and enacted,Ordering the Product Backlog,Writing all user stories personally,,,,,,
multipleresponse,PSM I,Efficiency vs Empiricism Trap,Yes,Off,The correct answers demonstrate how Scrum Teams respond to organizational constraints while preserving empirical delivery. Teams should collaborate with governance structures to reduce friction and still deliver usable increments frequently.,The incorrect options either blindly accept heavy approval structures or attempt to bypass them without collaboration. Both approaches undermine transparency and sustainable product delivery.,1,A team aims to maximize utilization and skip setting a Sprint Goal in Sprint Planning. Which adjustments address this misuse? (Select all that apply),"A,C",Craft a meaningful Sprint Goal first,Ensure individual utilization targets are met,Select PBIs that align with the Sprint Goal,Finalize detailed task assignments before ending planning,,,,,,
multipleresponse,PSM I,Role Misapplication,Yes,Off,"Product Backlog refinement is an ongoing activity where the Scrum Team collaborates to clarify, split, and estimate Product Backlog items. The correct answers reflect how refinement prepares items so Sprint Planning can be effective.",The incorrect options treat refinement as a formal Scrum event or assume it must occur only at fixed times. The Scrum Guide intentionally leaves refinement flexible and continuous.,1,Which Scrum Master behaviors indicate role confusion? (Select all that apply),"A,D",Directing how Developers implement solutions,Coaching the Product Owner on ordering techniques,Removing impediments by escalating organizational issues appropriately,Approving each Product Backlog item before its started,,,,,,
multipleresponse,PSM I,Framework and Direct Recall,Yes,Off,The Increment represents the sum of all Product Backlog items completed during the Sprint and previous Sprints. It must meet the Definition of Done and be usable. The correct answers identify statements that contradict these requirements.,The incorrect options misunderstand the nature of the Increment by suggesting partially finished work can be included or that integration may occur later.,1,An approval board must sign off after each Sprint before any release. Which Scrum-consistent alternatives reduce over-control while preserving needed checks? (Select all that apply),"A,D",Integrate governance checks into the Definition of Done with automated verification where possible,Add a Sprint 0 and a hardening Sprint at the end,Use the Sprint Review as a formal sign-off gate,Empower the team to release on demand when the Definition of Done is met; auditors inspect artifacts anytime,Have the Scrum Master sign off each Increment,,,,,
multipleresponse,PSM I,Role Misapplication,Yes,Off,Scrum commitments provide transparency about progress and expectations. The correct answers correspond to commitments defined in the,Incorrect answers introduce concepts that may exist in other frameworks but are not Scrum commitments defined in the Scrum Guide.,1,Which activities can occur during Product Backlog refinement? (Select all that apply),"A,C",Splitting PBIs and clarifying acceptance criteria,Finalizing a fixed scope for the next Sprint,Estimating by Developers as needed,Assigning items to individuals for the upcoming Sprint,,,,,,
multipleresponse,PSM I,Transparency Failure,Yes,Off,"Transparency of the Product Backlog ensures the Scrum Team and stakeholders share a common understanding of upcoming work. The correct answers improve backlog clarity, ordering, and accessibility.","The incorrect options obscure backlog visibility or shift backlog ownership away from the Product Owner, reducing clarity and accountability.",1,Which statements about the Increment are NOT true? (Select all that apply),"C,F",It must be usable to be valuable,Multiple Increments may be created within a Sprint,It must be released to users by the end of the Sprint,It is a step toward a Product Goal,It includes only items that meet the Definition of Done,It can be untested as long as stakeholders accept it at Review,,,,
multipleresponse,PSM I,Framework and Direct Recall,Yes,Off,"Scrum defines five formal events that create opportunities for inspection and adaptation: the Sprint, Sprint Planning, Daily Scrum, Sprint Review, and Sprint Retrospective. The correct answers correspond to these events.",Incorrect answers list activities that may occur within Scrum but are not official Scrum events defined by the framework.,1,Which of the following are Scrum commitments? (Select all that apply),"A,C,E",Sprint Goal,Release Plan,Product Goal,Definition of Ready,Definition of Done,,,,,
multipleresponse,PSM I,Increment Integrity,Yes,Off,The Definition of Done creates a shared understanding of quality for the Increment. The correct answers identify statements that contradict the purpose or application of the Definition of Done.,"Incorrect answers misunderstand the Definition of Done by suggesting it can be bypassed, changed arbitrarily during the Sprint, or applied inconsistently.",1,Which actions most increase transparency of the Product Backlog for stakeholders? Select all that apply.,"A,B,D",Keeping a single Product Backlog for the whole product,Allowing Developers and stakeholders to refine items collaboratively and frequently,Maintaining a private spreadsheet for executive features separate from the Product Backlog,Describing items clearly enough to be understood and ordered by the Product Owner,,,,,,
multipleresponse,PSM I,Event Misuse,Yes,Off,"When multiple Scrum Teams work on the same product, alignment mechanisms such as a shared Product Backlog and a common Definition of Done help ensure a cohesive Increment.","The incorrect options fragment product ownership or create separate quality standards, which reduces transparency and makes integration difficult.",1,Select all Scrum events from the list.,"A,C,D,E",Sprint Planning,Product Backlog refinement,Daily Scrum,Sprint Review,Sprint Retrospective,Release Planning,,,,
multipleresponse,PSM I,Efficiency vs Empiricism Trap,Yes,Off,"The Scrum Master serves the Scrum Team, the Product Owner, and the organization by coaching, facilitating Scrum events, and removing impediments. The correct answers reflect these servant-leadership responsibilities.","Incorrect answers depict the Scrum Master as a manager or controller responsible for directing work, which contradicts Scrum's emphasis on self-management.",1,Which statements about the Definition of Done are NOT correct? Select all that apply.,"A,B",The Product Owner may waive parts of it to hit an external date,It may vary for individual PBIs within a single team during a Sprint,Multiple Scrum Teams working on the same product should share one,It provides transparency about completeness and quality,It can be adapted when the Scrum Team learns better ways to assure quality,,,,,
multipleresponse,PSM I,Over-control Trap,Yes,Off,"Scrum-aligned governance emphasizes transparency, inspection, and adaptation rather than rigid hierarchical controls. The correct answers support empirical decision-making and product-focused governance.",The incorrect options rely on rigid approval structures or command-and-control reporting models that slow feedback cycles and reduce adaptability.,1,"Several Scrum Teams build a single product. What actions best support a reliable, usable Increment each Sprint? Select all that apply.","A,B,D",Establish a common Definition of Done for the product,"Integrate frequently, at least once per Sprint",Schedule a hardening Sprint every quarter,Share a single Product Backlog,,,,,,
multipleresponse,PSM I,Event Misuse,Yes,Off,The Sprint Review is a collaborative event where the Scrum Team and stakeholders inspect the Increment and adapt the Product Backlog. The correct answers reflect these outcomes.,Incorrect answers treat the Sprint Review as a status meeting or internal presentation rather than a collaborative product inspection and planning discussion.,1,Which are appropriate services the Scrum Master provides to the Product Owner? Select all that apply.,"A,B,D",Coaching in product planning based on empiricism,Helping establish effective Product Backlog management practices,Approving release dates and scope,Facilitating stakeholder collaboration as requested,,,,,,
multipleresponse,PSPO I,Outcome vs Output,Yes,Off,Linking Sprint Goals to measurable outcomes and framing work as testable hypotheses aligns delivery with value and reinforces empiricism.,Emphasizing velocity chasing or balancing work across components prioritizes output and utilization rather than meaningful outcomes.,1,Which actions by a Product Owner help shift a team from output-focus to outcome-focus? (Choose two),"A,D",Define Sprint Goals tied to key outcome metrics,Maximize velocity by breaking work into tiny tasks,Order PBIs by component to balance workload,Run experiments with explicit value hypotheses and adjust ordering based on results,,,,,,
multipleresponse,PSPO I,Forecast vs Commitment,Yes,Off,"The Sprint Goal represents the core commitment, while the Sprint Backlog remains an adaptive forecast that evolves as new information emerges.",Relying on velocity targets or fixed plans conflicts with empiricism and limits self-management.,1,A manager demands commitments to complete exact PBIs each Sprint. What clarifications should the Product Owner provide? (Choose two),"A,B",The Sprint Goal is the commitment,The Sprint Backlog is a forecast that may change as we learn,Velocity is the commitment,Developers must not change the plan after Sprint Planning,,,,,,
multipleresponse,PSPO I,Release vs Sprint Decisions,Yes,Off,"Releases can occur at any time, while Sprint timeboxes remain fixed and independent of release cadence.",Constraining releases to Sprint boundaries or introducing special release cycles departs from Scrum and delays feedback.,1,Which statements correctly distinguish release timing from Sprint boundaries? (Choose two),"A,C",Releases can happen any time an Increment is Done and valuable,Releases must coincide with the end of a Sprint,Sprints are fixed timeboxes regardless of release timing,You need a special release Sprint for production,,,,,,
multipleresponse,PSPO I,ROI / Cost of Delay,Yes,Off,Cost of delay incorporates both the impact of value over time and constraints such as regulatory or market deadlines.,"Capacity, seniority, or abstract sizing measures do not directly reflect economic timing or value impact.",1,You must decide among items with different economic profiles. Which considerations best represent cost of delay thinking? (Choose two),"A,C",Expected impact on key outcomes per unit time delayed,Number of Developers available,Regulatory deadlines or penalties tied to timing,Personal preference of the most senior stakeholder,Story points of each item,,,,,
multipleresponse,PSPO I,Forecast vs Commitment,Yes,Off,Forecasts guide progress toward the Sprint Goal and are adjusted continuously based on new insights.,Treating forecasts as commitments removes flexibility and undermines empiricism and self-management.,1,Which are true about forecasts in Scrum? (Choose two),"B,C",They are commitments to exact scope,They help plan how to achieve the Sprint Goal,They may be adapted as new information emerges,They must be signed off by stakeholders,,,,,,
multipleresponse,PSPO I,Outcome vs Output,Yes,Off,Outcome-based goals combined with instrumentation enable empirical measurement of value.,Feature counts and utilization metrics favor output and local optimization instead of delivered value.,1,Which actions increase focus on outcomes over output? (Choose two),"A,C",Setting measurable Product Goals and inspecting progress each Sprint,Basing success solely on feature counts,Instrumenting the product to capture behavior changes tied to PBIs,Enforcing 100% utilization of Developers,,,,,,
multipleresponse,PSPO I,PO Authority,Yes,Off,"Accountability for value remains with the Product Owner, who is also responsible for ordering the Product Backlog.",Directing task assignment or controlling code integration intrudes on Developer autonomy and the Definition of Done.,1,Which statements reflect Product Owner authority boundaries? (Choose two),"A,C",The Product Owner can delegate work but remains accountable for value decisions,The Product Owner can change Developers' tasks during the Sprint to speed up delivery,The Product Owner decides Product Backlog ordering,The Product Owner approves code merges before Done,,,,,,
multipleresponse,PSPO I,ROI / Cost of Delay,Yes,Off,Customer lifetime value and revenue impact aligned to the Product Goal provide strong indicators of return on investment.,"Time-based estimates, team size, or requester identity provide weak signals of return on investment without outcome alignment.",1,A Product Owner is comparing items by economic impact. What signals best inform ROI? (Choose two),"A,C",Projected change in customer lifetime value per feature,Estimated hours to build,Revenue enablement or protection tied to the Product Goal,Number of teams affected,Who asked for it,,,,,
multipleresponse,PSPO I,Product Backlog Transparency,Yes,Off,Removing unnecessary items and organizing discovery work around explicit goals keeps the Product Backlog transparent and focused.,Parking work indefinitely or maintaining private tracking reduces transparency and weakens focus.,1,"A Product Owner wants to keep a long list of ""maybe later"" ideas. Which approach keeps transparency without overburdening the Product Backlog? (Choose two)","A,C",Regularly prune low-signal items that lack a clear outcome or hypothesis,Keep them permanently for reference,Group exploratory ideas with explicit discovery goals and review cadence,Move all to a private file only the Product Owner can see,,,,,,
multipleresponse,PSPO I,Product Backlog Transparency,Yes,Off,"Quality is ensured through a shared Definition of Done, while Developers determine how best to achieve the Sprint Goal.",Introducing approval layers erodes accountability clarity and reduces transparency.,1,A new executive mandates that the Product Owner approve every commit before Done. Which Scrum-consistent responses apply? (Choose two),"A,B","Clarify that quality is ensured via the Definition of Done, not executive or PO sign-off on commits",Explain that Developers own the plan to achieve the Sprint Goal and implementation details,Accept the mandate to increase control,Assign the Scrum Master to pre-approve commits,,,,,,
multipleresponse,PSPO I,ROI / Cost of Delay,Yes,Off,"Early learning, faster value realization, and risk reduction reflect sound cost-of-delay thinking.",Utilization metrics or the scale of announcements are poor indicators of value when they delay learning or delivery.,1,You can ship a small feature now or wait two Sprints to bundle more. Which considerations best reflect cost of delay? (Choose two),"A,C",Learning sooner might unlock or avoid building other features,Bundling improves team utilization,Earlier revenue or risk reduction from shipping now,Marketing prefers bigger announcements,,,,,,
multipleresponse,PSPO I,Value Maximization,Yes,Off,Focusing on outcomes and tying work to measurable behavior avoids superficial output-based metrics.,Counting features or emphasizing throughput shifts focus to output rather than outcomes.,1,Which statements help guard against output vanity metrics? (Choose two),"A,C",Define Product Goals in terms of customer outcomes and business impact,Use feature count as the primary success metric,Tie PBIs to measurable behavior changes and validate post-release,Optimize for component throughput to keep teams busy,,,,,,
multipleresponse,PSPO I,Release vs Sprint Decisions,Yes,Off,The Product Owner determines release timing to maximize value and may delegate execution while retaining accountability.,"Assigning tasks centrally undermines Developer ownership, while promising fixed velocity contradicts empirical planning.",1,Which statements correctly describe what the Product Owner can and cannot do? (Choose two),"A,C",Decide release timing when it optimizes value,Assign tasks to Developers during the Sprint,Delegate backlog refinement activities while staying accountable for ordering and value,Guarantee velocity targets to stakeholders,,,,,,
multipleresponse,PSPO I,ROI / Cost of Delay,Yes,Off,Reducing failure demand and improving retention or satisfaction contribute directly to return on investment.,Technical headcount or individual preferences are not reliable drivers of return on investment.,1,Your backlog contains several operational improvements that reduce failure demand. Which factors support an ROI case? (Choose two),"A,C",Expected drop in support tickets and associated costs,Number of technologies used,Impact on customer retention or satisfaction,Developer personal preferences,,,,,,
multipleresponse,PSPO I,Outcome vs Output,Yes,Off,Outcome-oriented Sprint Goals and work items framed with value hypotheses align planning with value delivery.,"Focusing on points or utilization, combined with locking scope, promotes output and false certainty.",1,You want to emphasize outcomes in Sprint Planning. What should you do? (Choose two),"A,C",Frame the Sprint Goal as a target change in a key metric or behavior,Pick the highest story points to maximize utilization,Ensure selected PBIs express value hypotheses and how success will be measured,Lock all scope to enforce focus,,,,,,
